id_message,id_fil,appareil,horodatage,sens,canal,nom_contact,alias_contact,role_contact,identifiant_contact,objet_email,apercu_message,indice_lieu,pieces_jointes,types_pj,score_risque,mots_cles
msg_001,fil_001,iPhone4_Gustavo,2010-03-15 14:23:01,reçu,SMS,Walter White,Heisenberg,chimiste,+1-505-2891-4422,,Le produit est prêt pour la livraison. Qualité 99.1%,Lab de Laverie A1A,non,,85,chimie;qualité;livraison
msg_002,fil_001,iPhone4_Gustavo,2010-03-15 14:45:12,envoyé,SMS,Walter White,Heisenberg,chimiste,+1-505-2891-4422,,Parfait. On organise le transfert demain 15h au point habituel.,Lab de Laverie A1A,non,,82,transfert;rendez-vous
msg_003,fil_002,iPhone4_Gustavo,2010-03-16 09:12:34,reçu,SMS,Jesse Pinkman,Cap'n Cook,distributeur,+1-505-2156-8891,,Yo les gars veulent 5 livres pour ce soir,Albuquerque Nord,non,,78,distribution;quantité
msg_004,fil_002,iPhone4_Gustavo,2010-03-16 09:18:02,envoyé,SMS,Jesse Pinkman,Cap'n Cook,distributeur,+1-505-2156-8891,,Dis-leur 20k le lot. Cash seulement.,Albuquerque Nord,non,,80,argent;paiement
msg_005,fil_003,iPhone4_Gustavo,2010-03-16 15:02:45,reçu,SMS,Mike Ehrmantraut,Mike,sécurité,+1-505-2344-7712,,Surveillance en place. Périmètre sécurisé.,Entrepôt industriel Hobbs,non,,65,surveillance;sécurité
msg_006,fil_003,iPhone4_Gustavo,2010-03-16 15:15:33,envoyé,SMS,Mike Ehrmantraut,Mike,sécurité,+1-505-2344-7712,,Bien reçu. Procédez au transfert.,Entrepôt industriel Hobbs,non,,70,transfert;autorisation
msg_007,fil_004,iPhone4_Gustavo,2010-03-17 11:34:21,reçu,WhatsApp,Saul Goodman,Avocat,avocat,saul.goodman@better-call.com,,Les papiers de la laverie sont prêts. Signature cet après-midi?,Cabinet juridique Downtown,non,,55,documents;signature
msg_008,fil_004,iPhone4_Gustavo,2010-03-17 11:42:08,envoyé,WhatsApp,Saul Goodman,Avocat,avocat,saul.goodman@better-call.com,,Parfait. J'envoie Skyler à 16h.,Cabinet juridique Downtown,non,,52,rendez-vous
msg_009,fil_005,iPhone4_Gustavo,2010-03-18 08:15:44,reçu,Email,Lydia Rodarte-Quayle,Madrigal,fournisseur,lydia.rq@madrigal-electric.com,Livraison méthylamine,Confirmez réception des 1000 gallons. Facture Madrigal #45782 en pièce jointe.,Entrepôt Madrigal Los Lunas,oui,PDF,88,méthylamine;fournisseur;facture
msg_010,fil_005,iPhone4_Gustavo,2010-03-18 09:01:23,envoyé,Email,Lydia Rodarte-Quayle,Madrigal,fournisseur,lydia.rq@madrigal-electric.com,RE: Livraison méthylamine,Réception confirmée. Paiement effectué sur compte habituel.,Entrepôt Madrigal Los Lunas,non,,85,paiement;confirmation
msg_011,fil_001,iPhone4_Gustavo,2010-03-19 16:22:11,reçu,SMS,Walter White,Heisenberg,chimiste,+1-505-2891-4422,,Besoin de plus de pseudo pour la prochaine cuisson,Lab de Laverie A1A,non,,83,précurseur;production
msg_012,fil_001,iPhone4_Gustavo,2010-03-19 16:30:45,envoyé,SMS,Walter White,Heisenberg,chimiste,+1-505-2891-4422,,Je contacte le fournisseur. Combien de barils?,Lab de Laverie A1A,non,,81,approvisionnement;quantité
msg_013,fil_006,iPhone4_Gustavo,2010-03-20 13:45:09,reçu,SMS,Gale Boetticher,Gale,chimiste_assistant,+1-505-2678-3341,,Les équipements de distillation sont installés. Prêt pour tests.,Lab souterrain,non,,72,équipement;laboratoire
msg_014,fil_006,iPhone4_Gustavo,2010-03-20 14:02:37,envoyé,SMS,Gale Boetticher,Gale,chimiste_assistant,+1-505-2678-3341,,Excellent. Walter passera demain pour supervision.,Lab souterrain,non,,70,supervision;planning
msg_015,fil_002,iPhone4_Gustavo,2010-03-21 19:33:52,reçu,SMS,Jesse Pinkman,Cap'n Cook,distributeur,+1-505-2156-8891,,Combo dit que la zone sud est chaude. Trop de flics.,Quartier Sud Albuquerque,non,,75,police;territoire
msg_016,fil_002,iPhone4_Gustavo,2010-03-21 19:41:18,envoyé,SMS,Jesse Pinkman,Cap'n Cook,distributeur,+1-505-2156-8891,,On suspend les ops dans ce secteur pour 2 semaines.,Quartier Sud Albuquerque,non,,73,suspension;stratégie
msg_017,fil_007,iPhone4_Gustavo,2010-03-22 10:15:29,reçu,WhatsApp,Skyler White,Sky,blanchiment,+1-505-2445-9823,,Les comptes de la laverie montrent 47k ce mois. Ça va?,A1A Car Wash,non,,68,comptabilité;blanchiment
msg_018,fil_007,iPhone4_Gustavo,2010-03-22 10:28:44,envoyé,WhatsApp,Skyler White,Sky,blanchiment,+1-505-2445-9823,,Très bien. Continue comme ça. On diversifie?,A1A Car Wash,non,,65,stratégie;diversification
msg_019,fil_003,iPhone4_Gustavo,2010-03-23 07:52:16,reçu,SMS,Mike Ehrmantraut,Mike,sécurité,+1-505-2344-7712,,Problème avec un distributeur. Il parle trop.,Zone industrielle,non,,90,menace;sécurité
msg_020,fil_003,iPhone4_Gustavo,2010-03-23 08:15:03,envoyé,SMS,Mike Ehrmantraut,Mike,sécurité,+1-505-2344-7712,,Occupe-toi en. Discret et rapide.,Zone industrielle,non,,92,élimination;ordre
